,x,y
0,122,180
1,122,180
2,122,180
3,122,180
4,122,180
5,122,180
6,122,180
7,122,180
8,122,180
9,122,180
10,122,180
11,122,180
12,122,180
13,122,180
14,122,180
15,122,180
16,122,180
17,122,180
18,122,180
19,122,180
20,122,180
21,122,180
22,122,180
23,122,180
24,122,180
25,122,180
26,122,180
27,122,180
28,122,180
29,122,180
30,122,180
31,122,180
32,122,180
33,122,180
34,122,180
35,122,180
36,122,180
37,122,180
38,122,180
39,122,180
40,122,180
41,122,180
42,122,180
43,122,180
44,122,180
45,122,180
46,122,180
47,122,180
48,122,180
49,122,180
50,122,180
51,122,180
52,122,180
53,122,180
54,122,180
55,122,180
56,122,180
57,122,180
58,122,180
59,122,180
60,122,180
61,122,180
62,122,180
63,122,180
64,122,180
65,122,180
66,122,180
67,122,180
68,122,180
69,122,180
70,122,180
71,122,180
72,122,180
73,122,180
74,122,180
75,122,180
76,122,180
77,122,180
78,122,180
79,122,180
80,122,180
81,122,180
82,122,180
83,122,180
84,122,180
85,122,180
86,122,180
87,122,180
88,122,180
89,122,180
90,122,180
91,122,180
92,122,180
93,122,180
94,122,180
95,122,180
96,122,180
97,122,180
98,122,180
99,122,180
100,122,180
101,122,180
102,122,180
103,122,180
104,122,180
105,122,180
106,122,180
107,122,180
108,122,180
109,122,180
110,122,180
111,122,180
112,122,180
113,122,180
114,122,180
115,122,180
116,122,180
117,122,180
118,122,180
119,122,180
120,122,180
121,122,180
122,122,180
123,122,180
124,122,180
125,122,180
126,122,180
127,122,180
128,122,180
129,122,180
130,122,180
131,122,180
132,122,180
133,122,180
134,122,180
135,122,180
136,122,180
137,122,180
138,122,180
139,122,180
140,122,180
141,122,180
142,122,180
143,122,180
144,122,180
145,122,180
146,122,180
147,122,180
148,122,180
149,122,180
150,122,180
151,122,180
152,122,180
153,122,180
154,122,180
155,122,180
156,122,180
157,122,180
158,122,180
159,122,180
160,122,180
161,122,180
162,122,180
163,122,180
164,122,180
165,122,180
166,122,180
167,122,180
168,122,180
169,122,180
170,122,180
171,122,180
172,122,180
173,122,180
174,122,180
175,122,180
176,122,180
177,122,180
178,122,180
179,122,180
180,122,180
181,122,180
182,122,180
183,122,180
184,122,180
185,122,180
186,122,180
187,122,180
188,122,180
189,122,180
190,122,180
191,122,180
192,122,180
193,122,180
194,122,180
195,122,180
196,122,180
197,122,180
198,122,180
199,122,180
200,122,180
201,122,180
202,122,180
203,122,180
204,122,180
205,122,180
206,122,180
207,122,180
208,122,180
209,122,180
210,122,180
211,122,180
212,122,180
213,122,180
214,122,180
215,122,180
216,122,180
217,122,180
218,122,180
219,122,180
220,122,180
221,122,180
222,122,180
223,122,180
224,122,180
225,122,180
226,122,180
227,122,180
228,122,180
229,122,180
230,122,180
231,122,180
232,122,180
233,122,180
234,122,180
235,122,180
236,122,180
237,122,180
238,122,180
239,122,180
240,122,180
241,122,180
242,122,180
243,122,180
244,122,180
245,122,180
246,122,180
247,122,180
248,122,180
249,122,180
